Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
SPROHSA106923	SPROHSA106923	SPROHSA106923		47	false	false		SPROHSA106923		23.40	1.0000	0.9984	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA121613, SPROHSA179762, SPROHSA295148, SPROHSA302758
SPROHSA107067	SPROHSA107067	SPROHSA107067		58	false	false		SPROHSA107067		18.97	1.0000	0.9965	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA178358, SPROHSA178361, SPROHSA206682, SPROHSA230220, SPROHSA249795, SPROHSA273515, SPROHSA30543, SPROHSA308609, SPROHSA318935, SPROHSA328679, SPROHSA372847, SPROHSA376571, SPROHSA388901, SPROHSA44124, SPROHSA70627, SPROHSA72187, SPROHSA88276, SPROHSA91512
SPROHSA107389	SPROHSA107389	SPROHSA107389		28	false	false		SPROHSA107389		32.14	1.0000	0.9956	0.00000000000000	1	0	1	2	0	2	     0	     0	     0	9M(15.9949)		SPROHSA324536, SPROHSA392193
SPROHSA107501	SPROHSA107501	SPROHSA107501		95	false	false		SPROHSA107501		11.58	1.0000	0.9883	0.00083194675541	1	0	1	2	0	2	     0	     0	     0			SPROHSA107505, SPROHSA12516, SPROHSA213862, SPROHSA213863, SPROHSA230264, SPROHSA329069
SPROHSA1079	SPROHSA1079	SPROHSA1079		55	false	false		SPROHSA1079		21.82	1.0000	0.9914	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA110036, SPROHSA147903, SPROHSA147904, SPROHSA149541, SPROHSA162845, SPROHSA162846, SPROHSA162847, SPROHSA241092, SPROHSA29074, SPROHSA319778, SPROHSA319779, SPROHSA319780, SPROHSA328506, SPROHSA328507, SPROHSA355535, SPROHSA39266, SPROHSA8831
SPROHSA108032	SPROHSA108032	SPROHSA108032		96	false	false		SPROHSA108032		9.38	1.0000	0.9922	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA108786, SPROHSA126891, SPROHSA157938, SPROHSA157939, SPROHSA16400, SPROHSA16401, SPROHSA2621, SPROHSA314001, SPROHSA327084, SPROHSA38426, SPROHSA44162, SPROHSA59407, SPROHSA59408, SPROHSA60816, SPROHSA72216, SPROHSA72217, SPROHSA75556, SPROHSA92545
SPROHSA10808	SPROHSA10808	SPROHSA10808		29	false	false		SPROHSA10808		31.03	1.0000	0.9948	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA10809, SPROHSA144818, SPROHSA144819, SPROHSA155928, SPROHSA158530, SPROHSA244040, SPROHSA2602, SPROHSA361473, SPROHSA387884, SPROHSA387885, SPROHSA65056, SPROHSA65057, SPROHSA76373
SPROHSA108491	SPROHSA108491	SPROHSA108491		79	false	false		SPROHSA108491		12.66	1.0000	0.9986	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA239480
SPROHSA108601	SPROHSA108601	SPROHSA108601		54	false	false		SPROHSA108601		24.07	1.0000	0.9985	0.00000000000000	1	0	1	1	0	1	     0	     0	     0	6M(15.9949)		SPROHSA161420, SPROHSA347440, SPROHSA383043, SPROHSA56731
SPROHSA109223	SPROHSA109223	SPROHSA109223		53	false	false		SPROHSA109223		18.87	1.0000	0.9983	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA140384, SPROHSA26461, SPROHSA265130, SPROHSA4248
