PROTID	GENEID	GRLCL_1D_ETHCD_INT	GRLCL_1D_HCD_INT	GRLCL_2D_ETHCD_INT	
na	na	GRLCL_1D	GRLCL_1D	GRLCL_2D	
O75161	NPHP4	0.000000	0.000000	0.000000	
O75164	KDM4A	0.000000	0.000000	0.000000	
O75165	DNAJC13	0.000000	0.000000	0.000000	
O75179	ANKRD17	0.000000	0.000000	0.000000	
O75319	DUSP11	0.000000	0.000000	0.000000	
O75326	SEMA7A	0.000000	0.000000	0.000000	
O75340	PDCD6	0.000000	0.000000	0.000000	
O75376	NCOR1	0.000000	0.000000	0.000000	
O75400	PRPF40A	0.000000	0.000000	0.000000	
O75419	CDC45	0.000000	0.000000	0.000000	
O75420	GIGYF1	0.000000	0.000000	0.000000	
O75431	MTX2	0.000000	0.000000	0.000000	
O75467	ZNF324	0.000000	0.000000	0.000000	
O75475	PSIP1	0.000000	0.000000	0.000000	
O75494	SRSF10	0.000000	0.000000	0.000000	
O75521	ECI2	0.000000	0.000000	0.000000	
O75530	EED	0.000000	0.000000	0.000000	
O75531	BANF1	0.000000	0.000000	0.000000	
O75533	SF3B1	0.000000	0.000000	0.000000	
O75534	CSDE1	0.000000	0.000000	0.000000	
O75592	MYCBP2	0.000000	0.000000	0.000000	
O75626	PRDM1	0.000000	0.000000	0.000000	
O75643	SNRNP200	0.000000	0.000000	0.000000	
O75648	TRMU	0.000000	0.000000	0.000000	
O75665	OFD1	0.000000	0.000000	0.000000	
O75689	ADAP1	0.000000	0.000000	0.000000	
O75716	STK16	0.000000	0.000000	0.000000	
O75717	WDHD1	0.000000	0.000000	0.000000	
O75787	ATP6AP2	0.000000	0.000000	0.000000	
O75794	CDC123	0.000000	0.000000	0.000000	
O75815	BCAR3	0.000000	0.000000	0.000000	
O75821	EIF3G	0.000000	0.000000	0.000000	
O75844	ZMPSTE24	0.000000	0.000000	0.000000	
O75845	SC5D	0.000000	0.000000	0.000000	
O75925	PIAS1	0.000000	0.000000	0.000000	
O75995	SASH3	0.000000	0.000000	0.000000	
O76021	RSL1D1	0.000000	0.000000	0.000000	
O76094	SRP72	0.000000	0.000000	0.000000	
O94776	MTA2	0.000000	0.000000	0.000000	
O94804	STK10	0.000000	0.000000	0.000000	
O94832	MYO1D	0.000000	0.000000	0.000000	
O94842	TOX4	0.000000	0.000000	0.000000	
O94855	SEC24D	0.000000	0.000000	0.000000	
O94864	SUPT7L	0.000000	0.000000	0.000000	
O94868	FCHSD2	0.000000	0.000000	0.000000	
O94888	UBXN7	0.000000	0.000000	0.000000	
O94900	TOX	0.000000	0.000000	0.000000	
O94901	SUN1	0.000000	0.000000	0.000000	
O94903	PLPBP	0.000000	0.000000	0.000000	
O94906	PRPF6	0.000000	0.000000	0.000000	
O94913	PCF11	0.000000	0.000000	0.000000	
O94915	FRYL	0.000000	0.000000	0.000000	
O94952	FBXO21	0.000000	0.000000	0.000000	
O94953	KDM4B	0.000000	0.000000	0.000000	
O94966	USP19	0.000000	0.000000	0.000000	
O94979	SEC31A	0.000000	0.000000	0.000000	
O95071	UBR5	0.000000	0.000000	0.000000	
O95140	MFN2	0.000000	0.000000	0.000000	
O95149	SNUPN	0.000000	0.000000	0.000000	
O95163	ELP1	0.000000	0.000000	0.000000	
O95168	NDUFB4	0.000000	0.000000	0.000000	
O95219	SNX4	0.000000	0.000000	0.000000	
O95232	LUC7L3	0.000000	0.000000	0.000000	
O95235	KIF20A	0.000000	0.000000	0.000000	
O95248	SBF1	0.000000	0.000000	0.000000	
