PROTID	GENEID	GRLCL_1D_ETHCD_INT	GRLCL_1D_HCD_INT	GRLCL_2D_ETHCD_INT	
na	na	GRLCL_1D	GRLCL_1D	GRLCL_2D	
SPROHSA121478		0.000000	0.000000	0.000000	
SPROHSA121523		0.000000	0.000000	0.000000	
SPROHSA122057		0.000000	0.000000	0.000000	
SPROHSA122622		0.000000	0.000000	0.000000	
SPROHSA122744		0.000000	0.000000	0.000000	
SPROHSA122765		0.000000	0.000000	0.000000	
SPROHSA122855		0.000000	0.000000	0.000000	
SPROHSA122908		0.000000	0.000000	0.000000	
SPROHSA123152		0.000000	0.000000	0.000000	
SPROHSA123225		0.000000	0.000000	0.000000	
SPROHSA123321		0.000000	0.000000	0.000000	
SPROHSA123694		0.000000	0.000000	0.000000	
SPROHSA124045		0.000000	0.000000	0.000000	
SPROHSA124152		0.000000	0.000000	0.000000	
SPROHSA124174		0.000000	0.000000	0.000000	
SPROHSA124232		0.000000	0.000000	0.000000	
SPROHSA124242		0.000000	0.000000	0.000000	
SPROHSA12427		0.000000	0.000000	0.000000	
SPROHSA124452		0.000000	0.000000	0.000000	
SPROHSA124600		0.000000	0.000000	0.000000	
SPROHSA124781		0.000000	0.000000	0.000000	
SPROHSA124938		0.000000	0.000000	0.000000	
SPROHSA124992		0.000000	0.000000	0.000000	
SPROHSA125080		0.000000	0.000000	0.000000	
SPROHSA125254		0.000000	0.000000	0.000000	
SPROHSA12552		0.000000	0.000000	0.000000	
SPROHSA125536		0.000000	0.000000	0.000000	
SPROHSA125695		0.000000	0.000000	0.000000	
SPROHSA125783		0.000000	0.000000	0.000000	
SPROHSA125880		0.000000	0.000000	0.000000	
SPROHSA126109		0.000000	0.000000	0.000000	
SPROHSA126220		0.000000	0.000000	0.000000	
SPROHSA126259		0.000000	0.000000	0.000000	
SPROHSA126639		0.000000	0.000000	0.000000	
SPROHSA126815		0.000000	0.000000	0.000000	
SPROHSA126910		0.000000	0.000000	0.000000	
SPROHSA127231		0.000000	0.000000	0.000000	
SPROHSA127299		0.000000	0.000000	0.000000	
SPROHSA127411		0.000000	0.000000	0.000000	
SPROHSA127422		0.000000	0.000000	0.000000	
SPROHSA127508		0.000000	0.000000	0.000000	
SPROHSA127536		0.000000	0.000000	0.000000	
SPROHSA127629		0.000000	0.000000	0.000000	
SPROHSA12786		0.000000	0.000000	0.000000	
SPROHSA128125		0.000000	0.000000	0.000000	
SPROHSA12818		0.000000	0.000000	0.000000	
SPROHSA12837		0.000000	0.000000	0.000000	
SPROHSA128586		0.000000	0.000000	0.000000	
SPROHSA129074		0.000000	0.000000	0.000000	
SPROHSA129187		0.000000	0.000000	0.000000	
SPROHSA12923		0.000000	0.000000	0.000000	
SPROHSA129594		0.000000	0.000000	0.000000	
SPROHSA12983		0.000000	0.000000	0.000000	
SPROHSA129879		0.000000	0.000000	0.000000	
SPROHSA129923		0.000000	0.000000	0.000000	
SPROHSA130031		0.000000	0.000000	0.000000	
SPROHSA130039		0.000000	0.000000	0.000000	
SPROHSA1301		0.000000	0.000000	0.000000	
SPROHSA130120		0.000000	0.000000	0.000000	
SPROHSA130173		0.000000	0.000000	0.000000	
SPROHSA130260		0.000000	0.000000	0.000000	
SPROHSA130323		0.000000	0.000000	0.000000	
SPROHSA130329		0.000000	0.000000	0.000000	
SPROHSA130716		0.000000	0.000000	0.000000	
SPROHSA130989		0.000000	0.000000	0.000000	
SPROHSA131197		0.000000	0.000000	0.000000	
SPROHSA131224		0.000000	0.000000	0.000000	
SPROHSA131331		0.000000	0.000000	0.000000	
SPROHSA131705		0.000000	0.000000	0.000000	
SPROHSA13179		0.000000	0.000000	0.000000	
SPROHSA132127		0.000000	0.000000	0.000000	
SPROHSA132232		0.000000	0.000000	0.000000	
SPROHSA132281		0.000000	0.000000	0.000000	
SPROHSA132822		0.000000	0.000000	0.000000	
SPROHSA133136		0.000000	0.000000	0.000000	
SPROHSA133204		0.000000	0.000000	0.000000	
SPROHSA13393		0.000000	0.000000	0.000000	
SPROHSA134080		0.000000	0.000000	0.000000	
SPROHSA134140		0.000000	0.000000	0.000000	
SPROHSA134165		0.000000	0.000000	0.000000	
SPROHSA134350		0.000000	0.000000	0.000000	
SPROHSA134493		0.000000	0.000000	0.000000	
SPROHSA134674		0.000000	0.000000	0.000000	
SPROHSA13482		0.000000	0.000000	0.000000	
SPROHSA134963		0.000000	0.000000	0.000000	
SPROHSA134992		0.000000	0.000000	0.000000	
SPROHSA13503		0.000000	0.000000	0.000000	
SPROHSA13510		0.000000	0.000000	0.000000	
SPROHSA135366		0.000000	0.000000	0.000000	
SPROHSA135418		0.000000	0.000000	0.000000	
SPROHSA135454		0.000000	0.000000	0.000000	
SPROHSA135681		0.000000	0.000000	0.000000	
SPROHSA136268		0.000000	0.000000	0.000000	
SPROHSA13672		0.000000	0.000000	0.000000	
SPROHSA137028		0.000000	0.000000	0.000000	
SPROHSA137227		0.000000	0.000000	0.000000	
SPROHSA137258		0.000000	0.000000	0.000000	
SPROHSA137264		0.000000	0.000000	0.000000	
SPROHSA137432		0.000000	0.000000	0.000000	
SPROHSA137519		0.000000	0.000000	0.000000	
SPROHSA137891		0.000000	0.000000	0.000000	
SPROHSA138033		0.000000	0.000000	0.000000	
SPROHSA138182		0.000000	0.000000	0.000000	
SPROHSA138508		0.000000	0.000000	0.000000	
